High School	 StreetAddress	 City	 State	 Zip		
PACE Correspondence	P.O. Box 800	100 School Road Upper				
Pacific High School	509 Lincoln Street	Sitka	 Alaska 99835			
Palmer High School	1170 W Arctic Ave.	Palmer	 AK 99645			
Paul T. Albert Memorial School	PO Box 49	120 Village				
Pelican School	Box 90	101 S Salmon Way				
Perryville School	General Delivery	School Road				
Qugcuun Memorial High School	PO Box 6199	115 Village Road				
Raven Correspondence School	4762 Old Airport Way	Fairbanks	 AK 99707			
Razdolna School	Box 15098	31746 Basargin Rd				
Revilla Junior/Senior High School	333 Schoenbar Rd	3131 Baranof Ave.				
River City Academy	46188 Sterling Hwy.	152 E Park Avenue				
Rocky Mountain School	PO Box 153	121 Village Road				
Russian Mission School	PO Box 90	90 School Road				
S.A.V.E. High School	410 East 56th	Anchorage	 AK 99518			
Saint Mary's City School	PO Box 9	St. Mary's	 AK 99658			
Sand Point School	Box 269	123 Red Cove Road				
