High School	 StreetAddress	 City	 State	 Zip		
Scammon Bay School	General Delivery	Scammon Bay	 AK 99662			
Selawik School	PO Box 119	Selawik	 AK 99770			
Service High School	5577 Abbott Rd	Anchorage	 AK 99507			
Seward High School	Box 1049	2100 Swetmann				
Shaktoolik School	PO Box 40	40 Main Street				
Sheldon Point School	PO Box 32	32 School Road				
Shishmaref School	#1 Seaview Lane	Shishmaref	 AK 99772			
Shungnak School	PO Box 79	#6 West River Road				
Sidney C. Huntington Jr/Sr High School	299 Antoski Avenue	PO Box 299				
Sitka High School	1000 Lake Street	Sitka	 AK 99835			
Skagway City School	PO Box 497	1563 Main Street				
Skyview High	46188 Sterling Highway	Soldotna	 AK 99669			
Slana School	HC 60 Box 1002	Mile 4 Nabesna Rd				
Soldotna High	425 W Marydale Ave	Soldotna	 AK 99669			
South Anchorage High School	13400 Elmore Road	Anchorage	 AK 99516			
Spring Creek Correctional Center	PO Box 2387	606 Sea Lion Ave				
St George Island School	PO Box 959	#1 Elementary				
St Mary's School	Box 9	1 Dixon Circle				
St Paul Island School	PO Box 905	930 Tolstoi				
St. Mary's School	PO Box 9	1 Dixon Circle				
Star of the North Secondary School	2945 Monk Court	North Pole	 Alaska 99705			
Steller Secondary School	2508 Blueberry Lane	Anchorage	 AK 99503			
Stevens Village School	General Delivery	355 Bridge Street				
Susan B English School	Box 171	365 Winifred Avenue				
Susitna Valley Jr/Sr High School	HC 89 Box 8580	42728 S. Parks Hwy				
Takotna School	Box 90	90 Chinana Avenue				
Tanalian School	School Road	General Delivery				
Tatitlek Community School	PO Box 167	Main Street				
Tebughna School	PO Box 82010	46400 D Street				
Tenakee Springs School	Box 62	Tenakee Springs #62				
Tetlin School	PO Box 277	100 Main Street				
Thorne Bay School	PO Box 19005	1010 Sandy Beach Road				
Thunder Mountain High School	10014 Crazy Horse Drive	3101 Riverside Drive				
Tikigaq School	Box 148	1837 Tikigaq Ave				
Togiak School	PO Box 50	50 Togiak School Lane				
Tok High School	PO Box 249	249 Jon Summary Way				
Top Of The Kuskokwim School	PO Box 9190	90 Chinana Avenue				
Tri-Valley School	400 Suntrana Street	PO Box 400				
Tsuk Taih School	General Delivery	#1 Marten Hill Drive				
Tukrngailnguq School	General Delivery	Main Street				
Valdez High School	PO Box 398	319 Robe River Drive				
Valley Pathways	PO Box 4897	1150 North France Road				
Voznesenka School	Box 15336	32908 Voznesenka Rd				
Wales Kingikmiut School	Box 490	490 Main Street				
Walter Northway School	PO Box 519	Mile 7 Village Road				
Wasilla High School	701 Bogard Rd	Wasilla	 AK 99654			
West Anchorage High School	1700 Hillcrest Drive	Anchorage	 Alaska 99517			
West Valley High School	3800 Giest Road	Fairbanks	 AK 99709			
Whale Pass School	PO Box WWP	Thorne Bay	 AK 99919			
Whaley School	2220 Nichols St	Anchorage	 AK 99508			
White Mountain School	Box 55	55 Main Street				
Whittier Community School	Box 638	Portage Street				
William N. Miller Memorial School	General Delivery	Napakiak	 AK 99634			
Wiseman Charter School	General Delivery	Wiseman Village	 AK 99790			
Wrangell High School	PO Box 651	312 Reid Street				
10014 Crazy Horse Drive	1415 Glacier Ave.					
Yakov E. Netsvetov School	PO Box 47050	206 Atxax Way				
Yakutat School	Box 429	429 Forest Highway				
Deer Valley High School	18424 N. 51st Ave.	Glendale	 AZ 85308			
Desert Edge High School	15778 W. Yuma Rd	Goodyear	 AZ 85338			
Desert Hills High School	1515 S. Val Vista Dr.	Gilbert	 AZ 85296			
Desert Mountain High School	12575 E. Via Linda	Scottsdale	 AZ 85259			
Desert Pointe Academy	7905 N. 71st Avenue	Glendale	 AZ 8530			
Desert Ridge High	10045 E Madero Ave	Mesa	 AZ 85209			
Desert Rose Academy	326 W. Ft Lowell	Tucson	 Arizona 85705			
Desert View High School	4101 E Valencia Rd	Tucson	 AZ 85706			
Desert Vista High School	16440 S 32nd St	Phoenix	 AZ 85048			
Dine Southwest High School	1 Mile W. Highway 87	Winslow	 AZ 86047			
Dobson High School	1501 W Guadalupe	Mesa	 AZ 85202			
Douglas High School	1500 Fifteenth Street	Douglas	 AZ 85607			
Duncan High School	108 Stadium Blvd.	P.O. Box 710				
Dysart High School	11425 N Dysart Rd	El Mirage	 AZ 85335			
e-Institute	16578 W. Greenway Rd. #204	Suprise	 AZ 85388			
East Valley Academy	855 West 8th avenue 	Mesa	 AZ 85210			
East Valley Institute of Technology	1601 W. Main Street	Mesa	 AZ 85201			
Eastpointe High School	8495 East Broadway Blvd	Tucson	 Arizona 85710			
Edge Charter School Northwest	231 W. Giaconda Way	Suite 113				
Educational Opportunity Center	3834 W. 16th St.	Yuma	 Arizona 85364			
El Dorado High School	2200 N. Arizona Ave. #17	Chandler	 AZ 85225			
Empire High School	10701 E. Mary Ann Cleveland Way	Tucson	 AZ 85747			
Estrella Foothills High School	510 N. Central Ave.	Avondale	 AZ 85323			
Flagstaff High School	400 W. Elm Avenue	Flagstaff	 Arizona 86001			
Florence High School	1000 S. Main St	Florence	 AZ 85132			
Flowing Wells High School	3725 N Flowing Wells Rd	Tucson	 AZ 85705			
Fort Thomas High School	15502 W. Hwy 70	Fort Thomas	 AZ 85536			
Fountain Hills High School	16000 East Palisades Blvd.	Fountain Hills	 Arizona 85268			
Fredonia High School	221 N Hortt	Fredonia	 AZ 86022			
Ganado High School	Post Office Box 1757	Ganado	 Arizona 86505			
GATEWAY COMMUNITY HIGH SCHOOL	108 North 40th Street	Phoenix Arizona	 USA 85034			
Gila Bend High School	308 N. Martin Avenue	Gila Bend	 Arizona 85337			
Gila Institute for Technology	622 College Ave	Thatcher	 AZ 85552			
Gilbert High School	1101 East Elliot Rd.	Gilbert	 AZ 85234			
Gilbert Night School	140 S GILBERT RD	GILBERT	 AZ 85296			
Glendale High School	6216 W. Glendale Avenue	Glendale	 AZ 85301			
Globe High School	460 N. Willow Street	Globe	 AZ 85501			
Grand Canyon High School	1 Boulder Street	Grand Canyon	 AZ 86023			
Greenway High School	3930 W. Greenway Road	Phoenix	 AZ 85053			
Greyhills Academy High School	160 Warrior Dr	Tuba City	 AZ 86045			
Ha:san Preparatory  & Leadership School	1333 E	10th St Tucson	 AZ 85719			
Hamilton High School	3700 S Arizona Ave.	Chandler	 AZ 85248			
Hayden High School	824 THORNE AVE	WINKELMAN	 AZ 85292			
Heritage Academy	32 South Center	Mesa	 Arizona 85210			
Highland High School	4301 East Guadalupe Road	Gilbert	 AZ 85234			
Higley High School	4068 East Pecos Road.	Gilbert	 AZ 85295			
Hopi Jr./Sr. High School	P.O. Box 337	Keams Canyon	 AZ 86034			
Horizon High School	5601 E Greenway Road	Scottsdale	 AZ 85254			
Howenstine High School	555 South Tucson Blvd.	Tucson	 AZ 85716			
Independence High School	6602 N. 75th Avenue	Glendale	 AZ 85303			
INSCAPE ALTERNATIVE	1949 W GARDNER	TUCSON	 AZ 85705			
INTERNATIONAL COMMERCE INSTITUTE - TEMPE (CHARTER)	1105 E. BROADWAY RD.	TEMPE	 AZ 85282			
INTERNATIONAL STUDIES ACADEMY	4744 W. GROVERS AVE.	GLENDALE	 AZ 85308			
Ira H. Hayes High School	984 Preschool Road	Bapchule	 Arizona 85221			
Ironwood High School						
Ironwood Ridge High School	2475 W Naranja Drive	Oro Valley	 AZ 85742			
James Madison Preparatory School	5815 S. McClintock Dr.	Tempe	 AZ 85283			
James Sandoval Preparatory High School	3830 N 67th Ave	Phoenix	 AZ 85033			
Joseph City JR/SR High School	4629 East 2nd North	Joseph City	 AZ 86032			
Kestrel High School	325 N. Washington St	Prescott	 AZ 86301			
Kingman High School	4182 N. Bank St.	Kingman	 AZ 86409			
Kofa High School	3100 S. Avenue A	Yuma	 Arizona 85364			
Lake Havasu High School	2675 Palo Verde Boulevard S.	Lake Havasu City	 AZ 86403			
Liberty High School	1438 HAGEN RD. 	GLOBE	 AZ 85502			
Life House Alternative School	8000 N. Highway 89 Flagstaff	 AZ 86004 	FLAGSTAFF	 AZ 86004		
Life School College Preparatory	580 E. OLD LINDEN RD	SHOW LOW	 AZ 85901			
Lone Cactus	2624 WEST LONE CACTUS DRIVE	PHOENIX	 AZ 85027			
LS LEGENDS	1515 S. INDIAN BEND RD.	TEMPE	 AZ 85281			
Luz Academy of Tucson	2797 North Introspect Drive	Tucson	 Arizona 85745			
Marana Career  & Technical High School	13650 N. McDuff Suite 128	Marana	 AZ 85653			
Marana High School	12000 W. Emigh Rd.	Tucson	 Az 85743			
MARANA PLUS - ALTERNATIVE SCHOOL	11279 W GRIER RD	MARANA	 AZ 85653			
Marcos De Niza High School	6000 S Lakeshore Drive	Tempe	 AZ 85283			
MARY MEREDITH HIGH SCHOOL	755 N. MAGNOLIA	TUCSON	 AZ 85711			
Maryvale High School	3415 N 59TH AVE	PHOENIX	 AZ 85033			
Maya High School	3660 W Glendale Ave	PHOENIX	 AZ 85051			
Mayer Junior/senior High School	17300 E. Mule Deer	Spring Valley	 AZ 86333			
Mcclintock High School	1830 E Del Rio Dr	Tempe	 AZ 85282			
MESA HIGH SATELLITE PROGRAMS	1601 W. MAIN STREET	MESA	 AZ 85201			
Mesa High School	1630 East Southern Ave	Mesa	 AZ 85204			
Mesa Vista High School	1731 N. COUNTRY CLUB DRIVE	MESA	 AZ 85201			
Mesquite High School	500 S McQueen Rd	Gilbert	 AZ 85233			
Meta Academy High School	222 E. 5TH STREET	TUCSON	 AZ 85705			
Metro Tech High Schooll	1900 W. Thomas Road	Phoenix	 AZ 85015			
Metrocenter Academy	9617 Metro Parkway West	 #2214	Phoenix	 AZ 85051		
Metropolitan Arts institute	1700 N. 7th Ave.	Phoenix	 AZ 85007			
Miami High School	4635 E Ragus Road	Miami	 AZ 85539			
Midtown High School	7318 W Lynwood	Phoenix	 AZ 85035			
Millennium High School	14802 W Wigham Blvd	Goodyear	 AZ 85338			
Mingus Union High School	1801 E Fir	Cottonwood	 AZ 86326			
Mogollon High School	3450 Mustang Ave	Heber	 AZ AZ85928			
Mohave High School	2251 Highway 95	Bullhead City	 AZ 86442			
Monument Valley High School	N. Highway 163	Kayenta	 AZ 86033-0337			
Moon Valley High School	3625 W Cactus Rd	Phoenix	 AZ 85029			
Mountain Pointe High School	4201 E Knox Rd	Phoenix	 AZ 85044			
Mountain Ridge High School	22800 N 67th Avenue	Glendale	 AZ 85310			
Mountain Rose Academy	3686 W. Orange Grove Rd.	 #180	Tucson	 Arizona 85741		
Mountain View High	2700 E Brown	Mesa	 AZ 85213			
Mountain View High School	3901 W. Linda Vista Blvd.	Tucson	 AZ 85742			
Navit Courses	951 W Snowflake Blvd.	Snowflake	 AZ 85937			
New Samaritan High School	1455 South Stapley	Dr. Suite #20				
New School for the Arts and academics	1216 Apache Boulevard	Tempe	 Arizona 85281			
NFL YET College Prep Academy	4848 SOUTH 2ND STREET	PHOENIX	 AZ 85040			
Nogales High School	1905 N. Apache Blvd.	Nogales	 AZ 85621			
North Canyon High School	1700 E. Union Hills Drive	Phoenix	 AZ 85022			
North High School	1101 East Thomas Road	Phoenix	 AZ 85014			
North Pointe Preparatory	10215 North 43rd Avenue	Phoenix	 AZ 85051			
North Star Charter School Inc.	10720 W INDIAN SCHOOL RD.	PHOENIX	 AZ 85037			
Northern Arizona Academy	P.O. Box 125	Taylor	 AZ 85939			
Northland Preparatory Academy	3300 Sparrow Ave.	Flagstaff	 AZ 86004			
Oasis High School	8632 W NORTHERN AVE	GLENDALE	 AZ 85345			
Ocotillo High School	2616 E Greenway Rd	Phoenix	 AZ 85032			
Pace Alternative High School	594 S Campbell Ave	Tucson	 AZ 85719			
Pace Preparatory Academy Camp Verde	155 S. Montezuma Castle Hwy. #1&2	Camp Verde	 AZ 86322			
Pace Preparatory Academy Prescott	6650 East 2nd St.	 Suite B	Prescott Valley	 AZ 86314		
Page High School	434 Lake Powel Blvd	Page	 AZ 86040			
Palo Verde High Magnet School	1302 S. Avenida Vega	Tucson	 AZ 85710			
Pantano High School	12775 E. Old Vail Road	Vail	 AZ 85641			
Paradise Valley High Schools	3950 E Bell Road	Phoenix	 AZ 85032			
Parker High School	1600 S. Kofa Ave	Parker	 AZ 85344			
Pass Alternative High School	2102 East Broadway	Tucson	 AZ 85719			
Patagonia Union High School	P.O. Box 254	Patagonia	 AZ 85624			
Pathways Charter High School	3705 E Beaver Creek Hwy	Rimrock	 AZ 86335			
Payson High School	514 Wade Lane	Payson	 AZ 85541			
Peoria Accelerated High School	8885 W. Peoria Ave.	Peoria	 AZ 85345			
Peoria High School	11200 N 83rd Ave	Peoria	 AZ 85345			
Phoenix Christian Jr/Sr High School	1751 W Indian School	Phoenix	 AZ 95015			
Phoenix Regional High School	3160 N. 33RD AVE	PHOENIX	 AZ 85017			
Pillar High School	1589 Plantation Drive	Mohave Valley	 Arizona 86440			
Pima High School	131 S Main St	Pima	 AZ 85543			
Pima Partnership High School	3130 E. Broadway Suite 180	Tucson	 Arizona 85715			
Pima Vocational High School	2801 East Ajo Way	Tucson	 Arizona 85713			
Pinnacle Charter High School	2224 W. Southern Ave	 Suite 2	Tempe	 AZ 85282		
Pinnacle High School	3535 E. Mayo Blvd	Phoenix	 AZ 85050			
Pinon High School	1 MILE N. PINON ROUTE 41	PINON	 AZ 86510			
Polaris High School	15002 N. 32nd Street	Phoenix	 AZ 85032			
Ponderosa High School	2384 N. STEVES BLVD.	FLAGSTAFF	 AZ 86004			
Precision Academy	7318 W Lynwood	Phoenix	 AZ 85035			
Precision Academy System Charter School	3906 E Broadway Rd # 105	Phoenix	 AZ 85040			
Premier High School	7544 W. Indian School Rd	Phoenix	 AZ 85033			
Prep Tech - Robles Junction Learning Center	10451 S Sasabe Hwy	Tucson	 AZ 85736			
Prescott High School	1050 N. Ruth Street	Prescott	 Arizona 86301			
Primavera Online High School	2471 N. Arizona Ave.	 Building 1	Suite 226-227			
Project More High School	440 S. Park	Tucson	 AZ 85719			
Project New Start	320 N. Aztec	flagstaff	 Arizona 86001			
Pueblo High Magnet School	3500 S. 12th Ave.	Tucson	 AZ 85713			
Queen Creek High School	22149 E. Ocotillo Road	Queen Creek	 AZ 85142			
Queen Creek Satellite	1601 W. MAIN ST.	MESA	 AZ 85201			
Ray High School	701 North Hwy 177	P.O Box 427				
Raymond S. Kellis	8990 W. Orangewood	Glendale	 AZ 85305			
RCB High School - Phoenix	6049 N 43rd Ave	Phoenix	 AZ 85019			
Red Mesa High School	US Highway 160 Mile Post 448	Teec Nos Pos	 AZ 86514			
Red Mountain High School	7301 E Brown Road	Mesa	 AZ 85207			
RENAISSANCE ACADEMY - ANASAZI CAMPUS	762 E. WHITE MOUNTAIN BLVD.	PINETOP	 AZ 85935			
RENAISSANCE ACADEMY - MALPAIS CAMPUS	1223 E. MAIN STREET	SPRINGERVILLE	 AZ 85938			
Rincon High School	421 Arcadia	Tucson	 AZ 85711			
Rio Rico High School	1374 W. Frontage Road	Rio Rico	 AZ 85648			
River Valley High School	2250 E. Laguna Road	Mohave Valley	 Arizona 86440			
Roadrunner High School	3540 E. Cholla	Phoenix	 AZ 85028			
Round Valley High School	550 N Butler St	Eagar	 AZ 85938			
Sabino High School	5000 North Bowes Road	Tucson	 AZ 85749			
Safford High School	734 11th Street	Safford	 AZ 85546			
Saguaro High School	6250 N. 82nd Street	Scottsdale	 AZ 85250			
Sahuarita High School	350 W. Sahuarita Rd	Sahuarita	 AZ 85629			
Sahuaro High School	545 N. Camino Seco	Tucson	 AZ 85710			
Salome High School	PO Box 519	67488 E Salome RD				
Salt River High School	4827 N. Country Club	Scottsdale	 AZ 85256			
San Carlos High School	Highway 70 Mile Post 270	San Carlos	 AZ 85550			
San Luis High School	1250 N. 8th Avenue	San Luis	 Arizona 85349			
San Manuel High School	711 McNab Pky	San Manuel	 AZ 85631			
San Pedro Valley High School	360 S Patagonia St	Benson	 AZ 85602			
San Simon School	2226 west business I-10	P. O. Box 38				
Sanders Valley High School	Post Office Box 250	SANDERS	 AZ 86512			
Sandra Day O'Connor High School	25250 N. 35th Avenue	Glendale	 AZ 85083-2465			
Santa Cruz Valley Alternative High School	451 N. Arroyo Blvd	Nogales	 AZ 85621			
Santa Cruz Valley Union High School	900 N Mmai St.	Eloy	 AZ 85231			
Santa Rita High School	3951 S. Pantano Rd	Tucson	 AZ 85749			
Scholars Academy The	560 E. Coyote St. PO Box 3475	Quartzsite	 AZ 85359			
School for Integrated Academics and Technologies	901 S. Campbell Ave.	Tucson	 AZ 85719			
Sedona Red Rock High School	995 Upper Red Rock Loop Rd	Sedona	 AZ 86336			
Sees Charter School	1290 N Scottsdale Rd # 117A	Tempe	 AZ 85281			
Seligman High School	500 N Main	PO Box 650				
Sentinel Peak High School	1949 W. Gardner Lane	Tucson	 AZ 85705			
Sequoia Charter School	1460 South Horne Street	Mesa	 AZ 85204			
Shadow Mountain High School	2902 East Shea Boulevard	Phoenix	 AZ 85028			
Shonto Preparatory Technoloy High School	PO Box 7900	East Hwy 160 Rt. 98				
Show Low High School	500 W Old Linden Rd	Show Low	 AZ 85901			
Sierra Summit Academy	4200 E Ramsey Rd	Hereford	 AZ 85615			
Skyline High Satellite Programs	1601 W. Main Street	Mesa	 AZ 85201			
Skyline High School	845 S Crismon	Mesa	 AZ 85208			
Skyline West Prep School	17667 N. 91st Avenue	Peoria	 AZ 85382			
Snowflake High School	190 South 200 West	Snowflake	 AZ 85937			
Sonoran Desert School	4448 E Main St # 7	Mesa	 AZ 85205			
South Mountain High School	5401 S 7th Street	Phoenix	 AZ 85040			
South Pointe High School	8325 S Central Ave	Phoenix	 AZ 85042			
Southern Arizona Community High School	2470 N Tucson Blvd	Tucson	 AZ 85716			
Southwest Alternative High School	6855 S. Mark Road 85746	Tucson	 AZ 85746			
St. David High School	70 W Patton St	Saint David	 AZ 85630			
Teacher Preperation Charter High School	1202 W. Thomas Rd Osborn Center 105E	Phoenix	 AZ 85013			
Technology and Leadership Academy	55 North Greenfield Rd.	Gilbert	 Arizona 85296			
Teenage Parent Alternative Middle/High School	102 N. Plumer Ave	Tucson	 AZ 85719			
Telesis Preperatory Academy	2598 Starlite Ln	Lake Havasu City	 AZ 86403			
Tempe Accelerated High School	5040 S. Price Rd	Tempe	 AZ 85282			
Tempe High School	1730 S. Mill Ave.	Tempe	 AZ 85281			
Tempe Preparatory Academy	1251 East Southern Avenue	Tempe	 Arizona 85282			
Thatcher High School	601 N. 3rd Ave.	Thatcher	 AZ 85552			
The Buckeye Academy	1000 E Narramore	Buckeye	 Arizona 85326			
The Learning Institute	5310 North 12th Street	Phoenix	 Arizona 85014			
Thomas J. Pappas Regional High School	374 N. 6th Ave	Phoenix	 AZ 85003			
Thomas Jefferson High School	921 West Camelback Road	Phoenix	 AZ 85013			
Thunderbird Academy	7410 E. Sutton Drive	Scottsdale	 AZ 85260			
Tolleson Union High School	9419 W Van Buren	Tolleson	 Arizona 85353			
Toltecali Academy	251 W. Irvinton Rd	Tucson	 AZ 85714			
Tombstone High School	1211 Yellowjacket	WayTombstone	 AZ 85638			
Tonopah Valley High School	38201 W Indian School Rd	Tonopah	 AZ 85354			
Trevor G. Browne High School	7402 W. Catalina	Phoenix	 AZ 85033			
Tri-city College Prep High School	5522 Side Rd	Prescott	 AZ 86301			
TSE'YAATO' HIGH SCHOOL	583 South Lake Powell boulevar	Page	 AZ 86040			
Tuba City High School	Warrior Drive	Tuba City	 AZ 86045			
Tucson Accelerated High School	7820 E. Wrightstown Rd	Tucson	 AZ 85715			
Tucson Magnet High School	400 N. Second Avenue	Tucson	 AZ 85705			
Tucson Preparatory School	1525 N. Oracle Rd	Tucson	 AZ 85705			
Tucson Unified School District	440 South Park Avenue	Tucson	 AZ 85719-6198			
Tumbleweed Regional Learning Center	950 W. Indian School Rd	Phoenix	 AZ 85013			
Unity Regional High School	2624 W. Lone Cactus Dr	Phoenix	 AZ 85027			
University High School	421 N. Arcadia Blvd.	Tucson	 AZ 85711			
VACTE	830 S. Main St.	 Suite 2H	Cottonwood	 AZ 86326		
Vail High School	9040 S. Rita Road	Tucson	 AZ 85747			
Valley Christian High School	6900 W Galveston St	Chandler	 AZ 85226			
Valley Union High School	4088 E. Jefferson Rd	Elfrida	 AZ 85610			
Veritas Preparatory Academy	2131 E Lincoln Dr	Phoenix	 AZ 85016			
Vicki Romero High School	3005 E Fillmore St	Phoenix	 AZ 85008			
Victory High School-Campus	1650 W Southern Ave	Phoenix	 AZ 85041			
